verbose,epochs,replay_rate,threshold,save_to_file,num_centers,lamb,select_sample,conditional_train,conditional_prediction,Task 0,Task 1,Task 2,Task 3,Task 4,Average
False,20,0.1,,replay_compare.csv,1,1,True,True,True,0.9555555555555556,0.7889324191968659,0.83991462113127,0.8393756294058409,0.9253656076651539,0.8698287665909372
False,20,0.1,,replay_compare.csv,1,1,False,True,True,0.8888888888888888,0.7693437806072478,0.8495197438633938,0.9290030211480362,0.9425113464447806,0.8758533561904696
False,20,0.1,,replay_compare.csv,1,1,True,False,True,0.9862884160756501,0.9138099902056807,0.9268943436499466,0.8846928499496476,0.8729198184568835,0.9169210836675615
False,20,0.1,,replay_compare.csv,1,1,True,True,True,0.9352245862884161,0.6802154750244858,0.7358591248665955,0.9199395770392749,0.9480584972264247,0.8438594520890395
False,20,0.1,,replay_compare.csv,1,1,True,True,True,0.9375886524822695,0.8060724779627816,0.5133404482390609,0.9234642497482377,0.9515885022692889,0.8264108661403278
False,20,0.1,,replay_compare.csv,1,1,False,True,True,0.9617021276595744,0.8462291870714985,0.9002134471718249,0.9169184290030211,0.8920827029752899,0.9034291787762418
False,20,0.1,,replay_compare.csv,1,1,True,False,True,0.9456264775413712,0.9000979431929481,0.8911419423692636,0.8076535750251762,0.9147755925365607,0.891859106133064
False,20,0.1,,replay_compare.csv,1,1,True,True,True,0.7725768321513002,0.5719882468168462,0.8191035218783351,0.9310171198388721,0.9450327786182552,0.8079436998607218
False,20,0.1,,replay_compare.csv,1,,True,True,True,0.5985815602836879,0.6194906953966699,0.8052294557097118,0.9350453172205438,0.9147755925365607,0.7746245242294348
False,20,0.1,,replay_compare.csv,1,,True,False,True,0.9754137115839243,0.9407443682664055,0.9140875133404482,0.8403826787512588,0.8623298033282905,0.9065916150540655
False,20,0.1,,replay_compare.csv,1,2,True,True,True,0.6903073286052009,0.6767874632713027,0.7422625400213447,0.9491440080563948,0.9319213313161876,0.7980845342540862
False,20,0.1,,replay_compare.csv,1,2,True,False,True,0.9858156028368794,0.9529872673849168,0.9172892209178228,0.8222557905337362,0.9268784669692385,0.9210452697285187
False,20,0.2,,replay_compare.csv,1,1,True,True,True,0.9895981087470449,0.9172380019588638,0.8180362860192102,0.9123867069486404,0.8582955118507312,0.899110923104898
False,20,0.2,,replay_compare.csv,1,1,False,True,True,0.9673758865248226,0.7551420176297747,0.9231590181430096,0.9310171198388721,0.9142713061018659,0.898193069647669
False,20,0.2,,replay_compare.csv,1,1,True,False,True,0.991016548463357,0.9583741429970617,0.9493062966915689,0.9229607250755287,0.8472012102874432,0.9337717847029919
False,20,0.2,,replay_compare.csv,1,1,True,True,True,0.9796690307328605,0.930460333006856,0.9210245464247598,0.9008056394763343,0.8234997478567827,0.9110918594995188
False,20,0.2,,replay_compare.csv,1,,False,False,False,0.9862884160756501,0.9240940254652301,0.9423692636072573,0.9431017119838873,0.9536056480080686,0.9498918130280186
False,20,0.2,,replay_compare.csv,1,,True,True,True,0.9664302600472813,0.8090107737512243,0.8895410885805763,0.8932527693856999,0.8996469994957136,0.8915763782520992
False,20,0.2,,replay_compare.csv,1,,True,False,True,0.9853427895981087,0.954456415279138,0.9583778014941302,0.9244712990936556,0.7196167423096319,0.9084530095549329
False,20,0.2,,replay_compare.csv,1,2,False,False,False,0.9919621749408983,0.9373163565132223,0.9194236926360726,0.9204431017119838,0.9525970751386788,0.9443484801881713
False,20,0.2,,replay_compare.csv,1,2,True,True,True,0.9479905437352246,0.8481880509304603,0.9039487726787621,0.9365558912386707,0.9092284417549168,0.909182340067607
False,20,0.2,,replay_compare.csv,1,2,False,True,True,0.9427895981087471,0.9015670910871695,0.8543223052294557,0.905337361530715,0.8749369641956631,0.89579066403035
False,20,0.2,,replay_compare.csv,1,2,True,False,False,0.992434988179669,0.921645445641528,0.8900747065101388,0.932527693856999,0.929399899142713,0.9332165466662096
False,20,0.2,,replay_compare.csv,1,2,True,True,False,0.33569739952718675,0.28795298726738494,0.21878335112059766,0.959214501510574,0.9717599596570852,0.5546816398165657
False,20,0.2,,replay_compare.csv,1,2,True,False,True,0.9952718676122931,0.9480901077375122,0.9300960512273212,0.9108761329305136,0.7750882501260716,0.9118844819267423
False,20,0.2,,replay_compare.csv,1,2,True,True,True,0.9782505910165484,0.8428011753183153,0.8580576307363927,0.8640483383685801,0.9147755925365607,0.8915866655952793
False,20,0.2,,replay_compare.csv,1,,False,False,False,0.9801418439716312,0.9495592556317336,0.9343649946638207,0.9350453172205438,0.9465456379223399,0.9491314098820138
False,20,0.2,,replay_compare.csv,1,,True,True,True,0.9593380614657211,0.7859941234084231,0.8228388473852721,0.9380664652567976,0.940494200706001,0.889346339644443
False,20,0.2,,replay_compare.csv,1,,True,False,True,0.9862884160756501,0.9373163565132223,0.9402347918890075,0.9174219536757301,0.9036812909732728,0.9369885618253765
False,20,0.2,,replay_compare.csv,1,1,False,False,False,0.9711583924349881,0.9373163565132223,0.9172892209178228,0.9425981873111783,0.9606656580937972,0.9458055630542018
False,20,0.2,,replay_compare.csv,1,1,False,False,False,0.9877068557919622,0.9490695396669931,0.9402347918890075,0.9521651560926485,0.9475542107917297,0.9553461108464683
False,20,0.2,,replay_compare.csv,1,1,True,True,True,0.9654846335697399,0.8114593535749265,0.5400213447171825,0.8141993957703928,0.9525970751386788,0.8167523605541842
False,20,0.2,,replay_compare.csv,1,1,False,True,True,0.9721040189125295,0.8237022526934378,0.6376734258271078,0.904330312185297,0.9349470499243571,0.8545514119085459
False,20,0.2,,replay_compare.csv,1,1,True,False,False,0.983451536643026,0.9147894221351616,0.9178228388473852,0.9340382678751259,0.9495713565305093,0.9399346844062414
False,20,0.2,,replay_compare.csv,1,1,True,True,False,0.34231678486997635,0.302154750244858,0.2502668089647812,0.9627391742195368,0.9722642460917801,0.5659483528781865
False,20,0.2,,replay_compare.csv,1,1,True,False,True,0.9933806146572104,0.9691478942213516,0.9268943436499466,0.8564954682779456,0.8245083207261724,0.9140853283065253
False,20,0.2,,replay_compare.csv,1,1,True,True,True,0.9687943262411347,0.8016650342801175,0.6590181430096052,0.9224572004028198,0.9455370650529501,0.8594943537973254
False,20,0.2,,replay_compare.csv,1,,False,False,False,0.9787234042553191,0.9397649363369246,0.9348986125933831,0.9360523665659617,0.9541099344427635,0.9487098508388705
False,20,0.2,,replay_compare.csv,1,,True,True,True,0.8959810874704491,0.7159647404505387,0.8665955176093917,0.9587109768378651,0.9288956127080181,0.8732295870152524
False,20,0.2,,replay_compare.csv,1,,True,False,True,0.9877068557919622,0.9476003917727718,0.9348986125933831,0.9315206445115811,0.8845184064548663,0.9372489822249129
False,20,0.2,,replay_compare.csv,1,2,False,False,False,0.9914893617021276,0.9329089128305583,0.9493062966915689,0.9511581067472307,0.9309127584467978,0.9511550872836565
False,20,0.2,,replay_compare.csv,1,2,True,True,True,0.9408983451536643,0.8570029382957884,0.9407684098185699,0.9561933534743202,0.8709026727181038,0.9131531438920893
False,20,0.2,,replay_compare.csv,1,2,False,True,True,0.9820330969267139,0.9231145935357493,0.8452508004268944,0.8882175226586103,0.8209783156833081,0.8919188658462552
False,20,0.2,,replay_compare.csv,1,2,True,False,False,0.9938534278959811,0.951028403525955,0.9450373532550693,0.9209466263846928,0.9198184568835098,0.9461368535890415
False,20,0.2,,replay_compare.csv,1,2,True,True,False,0.2756501182033097,0.20568070519098922,0.23425827107790823,0.94662638469285,0.9667170953101362,0.5257865148950387
False,20,0.2,,replay_compare.csv,1,2,True,False,True,0.9843971631205674,0.9632713026444663,0.9343649946638207,0.9023162134944612,0.9056984367120524,0.9380096221270737
False,20,0.2,,replay_compare.csv,1,2,True,True,True,0.9191489361702128,0.8403525954946132,0.9204909284951974,0.9476334340382678,0.8860312657589511,0.9027314319914485
False,20,0.2,,replay_compare.csv,1,,False,False,False,0.9749408983451536,0.9431929480901078,0.9343649946638207,0.9395770392749244,0.9591527987897126,0.9502457358327439
False,20,0.2,,replay_compare.csv,1,,True,True,True,0.9456264775413712,0.7492654260528894,0.8036286019210246,0.9350453172205438,0.9399899142713061,0.874711147401427
False,20,0.2,,replay_compare.csv,1,,True,False,True,0.9900709219858156,0.9647404505386875,0.9332977588046958,0.9083585095669687,0.7917297024710035,0.9176394686734343
False,20,0.2,,replay_compare.csv,2,1,False,False,False,0.9654846335697399,0.915279138099902,0.9514407684098186,0.9536757301107754,0.9440242057488654,0.9459808951878204
False,20,0.2,,replay_compare.csv,2,1,True,True,True,0.9791962174940898,0.8570029382957884,0.9290288153681964,0.9229607250755287,0.9157841654059505,0.9207945723279108
False,20,0.2,,replay_compare.csv,2,1,False,True,True,0.9782505910165484,0.8658178256611165,0.8713980789754536,0.9360523665659617,0.9107413010590015,0.9124520326556164
False,20,0.2,,replay_compare.csv,2,1,True,False,False,0.9872340425531915,0.930460333006856,0.9172892209178228,0.9451158106747231,0.9389813414019162,0.943816149710902
False,20,0.2,,replay_compare.csv,2,1,True,True,False,0.35650118203309694,0.3893241919686582,0.28121664887940234,0.9556898288016112,0.9652042360060514,0.589587217537764
False,20,0.2,,replay_compare.csv,2,1,True,False,True,0.9825059101654846,0.9657198824681684,0.9487726787620064,0.919436052366566,0.8492183560262229,0.9331305759576896
False,20,0.2,,replay_compare.csv,2,1,True,True,True,0.9763593380614657,0.8540646425073457,0.9076840981856991,0.9451158106747231,0.9011598587997983,0.9168767496458063
False,20,0.2,,replay_compare.csv,2,,False,False,False,0.984869976359338,0.9529872673849168,0.9466382070437567,0.9425981873111783,0.935451336359052,0.9525089948916484
False,20,0.2,,replay_compare.csv,2,,True,True,True,0.9810874704491725,0.7296767874632712,0.8527214514407684,0.8841893252769386,0.940494200706001,0.8776338470672304
False,20,0.2,,replay_compare.csv,2,,True,False,True,0.9919621749408983,0.9730656219392753,0.9306296691568837,0.8338368580060423,0.9087241553202219,0.9276436958726644
False,20,0.2,,replay_compare.csv,2,2,False,False,False,0.9858156028368794,0.9397649363369246,0.9268943436499466,0.9390735146022156,0.9475542107917297,0.9478205216435391
False,20,0.2,,replay_compare.csv,2,2,True,True,True,0.9664302600472813,0.9270323212536729,0.9332977588046958,0.9420946626384693,0.7049924357034796,0.8947694876895197
